No,Latitude,Longitude,Altitude,Date,Time
1,47.686543,-122.317674,91.0,2015/11/13,10:30:47
2,47.686432,-122.317630,88.0,2015/11/13,10:31:26
3,47.686297,-122.317626,89.0,2015/11/13,10:31:28
4,47.686108,-122.317617,90.0,2015/11/13,10:31:30
5,47.685996,-122.317615,89.0,2015/11/13,10:31:31
6,47.685875,-122.317610,89.0,2015/11/13,10:31:32
7,47.685748,-122.317607,88.0,2015/11/13,10:31:33
8,47.685616,-122.317606,88.0,2015/11/13,10:31:34
9,47.685477,-122.317603,88.0,2015/11/13,10:31:35
10,47.685336,-122.317602,87.0,2015/11/13,10:31:36
11,47.685195,-122.317602,86.0,2015/11/13,10:31:37
12,47.685051,-122.317603,87.0,2015/11/13,10:31:38
13,47.684908,-122.317600,85.0,2015/11/13,10:31:39
14,47.684766,-122.317595,85.0,2015/11/13,10:31:40
15,47.684624,-122.317588,84.0,2015/11/13,10:31:41
16,47.684485,-122.317583,84.0,2015/11/13,10:31:42
17,47.684348,-122.317579,84.0,2015/11/13,10:31:43
18,47.684213,-122.317572,85.0,2015/11/13,10:31:44
19,47.684081,-122.317567,86.0,2015/11/13,10:31:45
20,47.683955,-122.317561,85.0,2015/11/13,10:31:46
21,47.683833,-122.317560,85.0,2015/11/13,10:31:47
22,47.683718,-122.317560,83.0,2015/11/13,10:31:48
23,47.683612,-122.317557,84.0,2015/11/13,10:31:49
24,47.683511,-122.317555,84.0,2015/11/13,10:31:50
25,47.683351,-122.317544,80.0,2015/11/13,10:31:52
26,47.683246,-122.317543,79.0,2015/11/13,10:31:54
27,47.683142,-122.317538,82.0,2015/11/13,10:31:58
28,47.683051,-122.317512,81.0,2015/11/13,10:32:02
29,47.683004,-122.317394,80.0,2015/11/13,10:32:06
30,47.683013,-122.317241,77.0,2015/11/13,10:32:12
31,47.683026,-122.317045,77.0,2015/11/13,10:32:15
32,47.683037,-122.316823,76.0,2015/11/13,10:32:17
33,47.683042,-122.316686,77.0,2015/11/13,10:32:18
34,47.683047,-122.316540,77.0,2015/11/13,10:32:19
35,47.683052,-122.316388,77.0,2015/11/13,10:32:20
36,47.683055,-122.316239,76.0,2015/11/13,10:32:21
37,47.683057,-122.316092,76.0,2015/11/13,10:32:22
38,47.683061,-122.315952,76.0,2015/11/13,10:32:23
39,47.683065,-122.315715,74.0,2015/11/13,10:32:25
40,47.683071,-122.315553,73.0,2015/11/13,10:32:27
41,47.683080,-122.315410,73.0,2015/11/13,10:32:34
42,47.683072,-122.315262,74.0,2015/11/13,10:32:37
43,47.683069,-122.315078,74.0,2015/11/13,10:32:39
44,47.683068,-122.314845,75.0,2015/11/13,10:32:41
45,47.683061,-122.314592,75.0,2015/11/13,10:32:43
46,47.683058,-122.314454,75.0,2015/11/13,10:32:44
47,47.683056,-122.314307,76.0,2015/11/13,10:32:45
48,47.683055,-122.314151,77.0,2015/11/13,10:32:46
49,47.683055,-122.313993,77.0,2015/11/13,10:32:47
50,47.683061,-122.313835,78.0,2015/11/13,10:32:48
51,47.683068,-122.313672,79.0,2015/11/13,10:32:49
52,47.683071,-122.313517,79.0,2015/11/13,10:32:50
53,47.683071,-122.313366,80.0,2015/11/13,10:32:51
54,47.683069,-122.313228,79.0,2015/11/13,10:32:52
55,47.683064,-122.312977,79.0,2015/11/13,10:32:54
56,47.683074,-122.312750,81.0,2015/11/13,10:32:56
57,47.683073,-122.312546,80.0,2015/11/13,10:32:58
58,47.683072,-122.312362,77.0,2015/11/13,10:33:00
59,47.683075,-122.312171,78.0,2015/11/13,10:33:02
60,47.683080,-122.311944,79.0,2015/11/13,10:33:04
61,47.683080,-122.311674,78.0,2015/11/13,10:33:06
62,47.683080,-122.311524,79.0,2015/11/13,10:33:07
63,47.683082,-122.311365,78.0,2015/11/13,10:33:08
64,47.683081,-122.311197,78.0,2015/11/13,10:33:09
65,47.683081,-122.311023,78.0,2015/11/13,10:33:10
66,47.683080,-122.310849,78.0,2015/11/13,10:33:11
67,47.683077,-122.310671,79.0,2015/11/13,10:33:12
68,47.683076,-122.310491,77.0,2015/11/13,10:33:13
69,47.683074,-122.310306,77.0,2015/11/13,10:33:14
70,47.683072,-122.310121,75.0,2015/11/13,10:33:15
71,47.683069,-122.309931,76.0,2015/11/13,10:33:16
